Вакансия,URL,Компания,Описание
IOS Swift Developer,https://hh.ru/vacancy/32213370?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Новый Сайт,"Разработка мобильных приложений iOS. Оценка сроков задач, командное планирование, умение разбивать задачи на подзадачи. Оптимизация производительности. Поддержка, сопровождение и развитие... Знание основ и тонкостей Swift (4+). Правильный код, нелюбовь ""костылей"" и самокритика. Способность отвечать за архитектурные решения. "
Senior .NET Developer,https://hh.ru/vacancy/29608060?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, ISsoft Solutions,"Проект: Создаваемый продукт позволяет автоматизировать процессы груп-менеджмента, устранить рутинную работу и обеспечить соблюдение всех необходимых процедур. Участие в просмотре... MS SQL Server. 3+ года опыта работы .NET разработчиком. Опыт работы в Agile-команде. Знание английского языка на уровне..."
Инженер-программист,https://hh.ru/vacancy/32116499?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Сакцесс," Программиста, обладающего аналитическим складом ума, способного быстро и много обучаться новым технологиям. Требования: Понимание принципов ООП. Понимание специфики Web программирования. "
.NET (.NET Core/C#) backend разработчик,https://hh.ru/vacancy/32132249?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Новый Сайт, Использование последний технологий и новых инструментов. Возможность общения на английском языке с носителями. - опыт коммерческой (за деньги) разработки на .NET...
Salesforce Developer,https://hh.ru/vacancy/31754724?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Сакцесс,"Разработка приложений на платформе Salesforce. Работа с Front-End библиотеками и фреймворками (JavaScript, jQuery, AngularJS). Участие в реализации, поддержке и... Опыт разработки на платформе Salesforce не менее 1 года (VisualForce, JavaScript, Lightning, Apex). Знания об экосистеме Salesforce (идеология, структура субъектов..."
Unity разработчик,https://hh.ru/vacancy/32143784?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Оранжсофт Девелопмент,Уже разработали несколько приложений на Unity. Осмысленно применяете паттерны проектирования.
Android разработчик,https://hh.ru/vacancy/30312585?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Оранжсофт Девелопмент, Осмысленно применяете паттерны проектирования.
IOS разработчик,https://hh.ru/vacancy/31269280?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Оранжсофт Девелопмент,Уже разработали несколько iOS приложений на Objective-C или Swift. Осмысленно применяете паттерны проектирования.
Программист 1C 8.3,https://hh.ru/vacancy/32064991?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ЗАО Консул,"Разработка и внедрение в производственные процессы программных модулей. Участие в разработке и реализации проектов автоматизации предприятия. Интеграция сторонних решений с... Высшее образование. Опыт программирования 1С (платформа 8.3). Ответственность, целеустремленность, умение работать в команде. Преимуществом кандидата является наличие сертификата..."
Backend разработчик (Node.js / JavaScript),https://hh.ru/vacancy/32132127?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Новый Сайт, Использование последний технологий и новых инструментов. Возможность общения на английском языке с носителями. - опыт коммерческой (за деньги) разработки на платформе...
Веб-разработчик на WordPress,https://hh.ru/vacancy/32039022?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Веб Фокус,"Оптимизация быстродействия существующих скриптов. При разработке сайта, Вы следите за тем чтобы код соответствовал документации WP Codex. Обязанности: Развитие ранее... Уметь писать код на PHP, разбираться в чужом коде. Хорошие знания CMS WordPress (функций, хуков, основных плагинов). Уметь писать плагины..."
Инженер-программист,https://hh.ru/vacancy/32116500?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ИП Воронин А.В.,Техническая поддержка сайтов и верстка шаблонов страниц сайта CMS WordPress. Проводить тестирование и корректировку сайта. Знание HTML. Понимание специфики Web-программирования. Умение разбираться в чужом коде. Приветствуется знание и опыт работы с WordPress. 
Lead/Senior JavaScript Developer (Angular),https://hh.ru/vacancy/32203520?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Exadel,"Writing tested, idiomatic, and documented JS, HTML and CSS. Develop application code and unit tests in the Angular2+.  3+ years of experience with Angular2+. Strong expertise in ES5/ES6+. Strong expertise in..."
Web-программист,https://hh.ru/vacancy/32501349?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО СЕНЛА,"Программирование, участие в разработке IT-проектов предприятия. Поддержка и обслуживание проектов. Уверенные знания native JavaScript, HTML5, CSS3, LESS/SASS, AJAX/CORS, JQuery. Опыт работы с REST API web services. "
Web developer (web разработчик),https://hh.ru/vacancy/32470194?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,УП Сеоклик,"Создание сайтов по макету и ТЗ. Поддержка сайтов. Доработка сайтов по ТЗ. Знание PHP, MySQL, HTML/CSS, JavaScript, jQuery. Понимание ООП. Понимание работы CMS. Желательно знание WordPress, OpenCart, Joomla, MOD-X. "
Инженер-программист по сопровождению программ,https://hh.ru/vacancy/32432779?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, АИРЭКС," Необходимы профессиональные знания и навыки программирования html, javascript, css, PHP, AJAX, SQL, а также навыки по установке, настройке и использованию..."
